COVID19 Tests,Data version,3
,,
Full model CV,,
Algorithm,MAE,
Baseline,0.0074,
RF (full),0.0057,
RF (simple),,
xgboost,0.0061,
,,
,,
State CV,,
Baseline,0.0088,
RF (Full),0.0095,
RF (Simple),0.0092,
xgboost,0.0092,
xgboost (Simple),0.009,
lme4,0.0088,
